"direction","street","crossStreet","intersection","Location.1"
"22","S/B","MLK Jr. Blvd ","Pratt St","MLK Jr. Blvd 
 & Pratt St","(39.2860268994, -76.6278460704)"
"23","E/B","Northern Pkwy","Greenspring Ave","Northern Pkwy   & Greenspring Ave","(39.3550243172, -76.6604587972)"
"24","W/B","Northern Pkwy","Greenspring Ave","Northern Pkwy  & Greenspring Ave","(39.3551612114, -76.6605058823)"
"25","E/B","Edmonson","Woodbridge Ave","Edmonson
  & Woodbridge Ave","(39.2934525382, -76.6893905792)"
"26","W/B","Edmonson ","Woodbridge Ave","Edmonson 
 & Woodbridge Ave","(39.2935925831, -76.689399241)"
"27","E/B","Fredrick Ave","Catherine Ave","Fredrick Ave
 & Catherine Ave","(39.2833935865, -76.6559289926)"
"28","N/B","Park Heights","Voilet Ave","Park Heights  & Voilet Ave","(39.3307133383, -76.6597502076)"
"29","W/B","Sinclair","Moravia Road","Sinclair  & Moravia Road","(39.3220360862, -76.5484525966)"
"30","E/B","Wilkens","DeSoto","Wilkens  & DeSoto","(39.2749037576, -76.6681630903)"
"31","W/B","Northern Pkwy","Waverly St","Northern Pkwy  & Waverly St","(39.367051509, -76.5810739873)"
"32","W/B","Cold Spring","Hillen Road","Cold Spring  & Hillen Road","(39.3459074717, -76.5859273904)"
"33","E/B","Cold Spring","Roland Ave","Cold Spring
  & Roland Ave","(39.34390606, -76.6354262185)"
"34","W/B","Cold Spring","Loch Raven Blvd","Cold Spring
  & Loch Raven Blvd","(39.3460452397, -76.5920075335)"
"35","E/B","Tamarind","Coldspring Lane","Tamarind
  & Coldspring Lane","(39.343899313, -76.6519407916)"
"36","N/B","Harford ","The Alameda","Harford 
 & The Alameda","(39.3212074758, -76.5907705888)"
"37","N/B","Harford","Rosalie Ave","Harford
  & Rosalie Ave","(39.3680654859, -76.5478183886)"
"38","N/B","Harford ","Christopher Ave","Harford 
 & Christopher Ave","(39.3583326463, -76.5562471252)"
"39","E/B","Sinclair","Shannon Drive","Sinclair
  & Shannon Drive","(39.3175028074, -76.5556737923)"
"40","W/B","Sinclair ","Shannon Drive","Sinclair 
 & Shannon Drive","(39.3175028074, -76.5556737923)"
"41","E/B","Liberty Hghts","Hillsdale Ave","Liberty Hghts
  & Hillsdale Ave","(39.3304453818, -76.6945100293)"
"42","W/B","Liberty Hghts","Hillsdale Ave","Liberty Hghts
  & Hillsdale Ave","(39.3304453818, -76.6945100293)"
"43","W/B","Northern Pkwy","Springlake Way","Northern Pkwy
  & Springlake Way","(39.3643110382, -76.6176988692)"
"44","S/B","Harford","Walther Ave","Harford  & Walther Ave","(39.3353084656, -76.5751846354)"
"45","W/B","Northern Pkwy","Falls Road","Northern Pkwy  & Falls Road","(39.3614127238, -76.6462199216)"
"46","E/B","Edmonson","Hilton St","Edmonson  & Hilton St","(39.294061339, -76.6727600072)"
"47","S/B","President","Fayette St","President  & Fayette St","(39.2906240776, -76.6066648277)"
"48","N/B","Russell ","Hamburg St","Russell 
 & Hamburg St","(39.2797863216, -76.6237544477)"
"49","S/B","Russell","Hamburg St","Russell
  & Hamburg St","(39.2798187398, -76.6239105956)"
"50","S/B","Light SB ","Pratt St","Light SB 
 & Pratt St","(39.2865415105, -76.6135493898)"
"51","W/B","Lombard ","Gay St","Lombard 
 & Gay St","(39.2877660778, -76.6087475019)"
"52","N/B","Harford Rd","North Ave","Harford Rd
  & North Ave","(39.3119363297, -76.5993579666)"
"53","S/B","Ft Smallwood","Fort Armstead","Ft Smallwood
  & Fort Armstead","(39.1999130165, -76.5559766825)"
"54","E/B","Garrison ","Wabash Ave","Garrison 
 & Wabash Ave","(39.3412090597, -76.6831167251)"
"55","N/B","Walther ","Glenmore","Walther 
 & Glenmore","(39.3535402213, -76.5424942905)"
"56","W/B","Franklin ","Cathedral","Franklin 
 & Cathedral","(39.2950659131, -76.616872047)"
"57","S/B","Perring Pkwy","Belvedere Ave","Perring Pkwy
  & Belvedere Ave","(39.3549627467, -76.575725921)"
"58","W/B","Gwynns Falls ","Garrison Blvd","Gwynns Falls 
  & Garrison Blvd","(39.3135792902, -76.6762250182)"
"59","S/B","Reistertown Rd","Druid Lake Drive","Reistertown Rd
  & Druid Lake Drive","(39.3252867997, -76.6577109834)"
"60","S/B","Potee","Talbot","Potee
  & Talbot","(39.2364856246, -76.6122106478)"
"61","S/B","York Rd ","Gitting Ave","York Rd 
 & Gitting Ave","(39.3704929583, -76.6098121277)"
"62","E/B","Wabash ","Belvedere Ave","Wabash 
 & Belvedere Ave","(39.3416713553, -76.685042508)"
"63","W/B","Northern Pkwy","York Road","Northern Pkwy
  & York Road","(39.3651462024, -76.6099220341)"
"64","E/B","Reistertown ","Patterson Ave","Reistertown 
  & Patterson Ave","(39.3561820401, -76.7025209585)"
"65","E/B","Pulaski Hwy ","Monument St","Pulaski Hwy 
  & Monument St","(39.2997984532, -76.5542506552)"
"66","E/B","Franklin ","Franklintown Road","Franklin 
  & Franklintown Road","(39.2930857459, -76.6623624871)"
"67","S/B","Hanover ","Cromwell St"," &","(39.2620595495, -76.6145872791)"
"68","N/B","Reisterstown ","Menlo Drive","Reisterstown 
 & Menlo Drive","(39.3519849983, -76.6963758159)"
"69","S/B","Russell ","Bayard St","Russell 
 & Bayard St","(39.2734675536, -76.6287385068)"
"70","E/B","Liberty Hghts","Dukeland St","Liberty Hghts
  & Dukeland St","(39.3226393684, -76.6666335903)"
"71","N/B","Hanover ","Reedbird Ave","Hanover 
 & Reedbird Ave","(39.2498797679, -76.6137494417)"
"72","W/B","Fayette","Liberty Heights Ave","Fayette
  & Liberty Heights Ave","(39.2905038859, -76.617661176)"
"73","E/B","Gwynns Falls ","Garrison Blvd","Gwynns Falls 
  & Garrison Blvd","(39.3135792902, -76.6762250182)"
"74","N/B","Loch Raven","Walker Ave","Loch Raven
  & Walker Ave","(39.3700602939, -76.5831798122)"
"75","W/B","Pulaski Hwy ","Moravia Park Drive","Pulaski Hwy 
 & Moravia Park Drive","(39.3086437141, -76.5323658645)"
"76","W/B","Hillen ","Forrest St","Hillen 
 & Forrest St","(39.2968601609, -76.6055317698)"
"77","E/B","Pulaski ","North Point Blvd","Pulaski 
 & North Point Blvd","(39.3043275894, -76.5395800163)"
"78","S/B","Monroe","Lafayette","Monroe
 & Lafayette","(39.2987426878, -76.647517496)"
"79","N/B","Mt Royal","North","Mt Royal
 & North","(39.3107672842, -76.6247302963)"
"80","S/B","Mt Royal","North","Mt Royal
 & North","(39.3108706445, -76.6251255783)"
